month,year,bust,cupsize,waist,hips,height,weight,bmi,waist2hip,model_of_the_year
March,1968,38,5,23,35,64.5,110,18.58782525,0.657142857,0
April,1968,35,3,24,35,66,118,19.043618,0.685714286,0
May,1968,33,2,21,35,62,93,17.00806452,0.6,0
June,1968,34,2,21.5,34,64,108,18.53613281,0.632352941,0
July,1968,34,3,23,34,65,100,16.63905325,0.676470588,0
August,1968,36,3,22,35,64,110,18.87939453,0.628571429,0
September,1968,36,3,24,35,64,122,20.93896484,0.685714286,0
October,1968,34,3,22,34,65,108,17.97017751,0.647058824,0
November,1968,36,3,24,36,65,118,19.63408284,0.666666667,0
December,1968,39,6,24,36,63,119,21.07760141,0.666666667,0
January,1969,36,2,24,37,67,130,20.35865449,0.648648649,0
February,1969,36.5,4,21,36,66,118,19.043618,0.583333333,0
March,1969,36,4,24,34,64.5,120,20.27762755,0.705882353,0
April,1969,35,2,23,34,64,105,18.02124023,0.676470588,0
May,1969,36,4,24,35,64,110,18.87939453,0.685714286,0
June,1969,35.5,3,24,34,63,110,19.4834971,0.705882353,0
July,1969,36,4,24,34,62,105,19.20265349,0.705882353,0
August,1969,36,3,24.5,36,63,112,19.8377425,0.680555556,0
September,1969,36,3,23,34.5,63,110,19.4834971,0.666666667,0
October,1969,34,3,23,36,64,117,20.08081055,0.638888889,0
November,1969,35,2,23,36,66,115,18.55945822,0.638888889,1
December,1969,34,3,23,34,62,105,19.20265349,0.676470588,0
January,1970,37,4,24,36,64,120,20.59570313,0.666666667,0
February,1970,35,3,23,35,63,115,20.36911061,0.657142857,0
March,1970,35,2,24,35,67,120,18.79260414,0.685714286,0
April,1970,36.5,4,24,35,66,118,19.043618,0.685714286,0
May,1970,36,3,22,34,64.5,105,17.7429241,0.647058824,0
June,1970,35,,24,35,65,110,18.30295858,0.685714286,0
July,1970,35,3,25,36,66,120,19.36639118,0.694444444,0
August,1970,35,3,24,36,66,115,18.55945822,0.666666667,1
September,1970,35,1,24,36,65.5,118,19.33546996,0.666666667,0
October,1970,36,3,25,36,67,114,17.85297394,0.694444444,0
October,1970,34,3,22,35,67,114,17.85297394,0.628571429,0
November,1970,39,4,26,37,69,140,20.6721277,0.702702703,0
December,1970,37.5,4,24.5,35,65,118,19.63408284,0.7,0
January,1971,36,5,22.5,34,67.5,108,16.6637037,0.661764706,1
February,1971,34,3,23,34,64,108,18.53613281,0.676470588,0
March,1971,37,4,25,36,63,120,21.25472411,0.694444444,0
April,1971,35.5,3,24,35.5,67.5,126,19.44098765,0.676056338,0
May,1971,35.5,2,23,35.5,68,123,18.70004325,0.647887324,0
